Company_Name,8K_Link
Northrop Grumman Corp.,https://www.sec.gov/Archives/edgar/data/1133421/000113342123000031/noc-20230517.htm
Illinois Tool Works Inc.,https://www.sec.gov/Archives/edgar/data/49826/000004982623000029/itw-20230505.htm
O'Reilly Automotive Inc.,https://www.sec.gov/Archives/edgar/data/898173/000089817323000031/orly-20230518x8k.htm
Cadence Design Systems Inc.,https://www.sec.gov/Archives/edgar/data/813672/000081367223000029/cdns-20230504.htm
Pioneer Natural Resources Company,https://www.sec.gov/Archives/edgar/data/1038357/000103835723000067/pxd-20230524.htm
McKesson Corporation,https://www.sec.gov/Archives/edgar/data/927653/000092765323000045/mck-20230721.htm
Sempra Energy,https://www.sec.gov/Archives/edgar/data/1032208/000103220823000034/sempra-20230512.htm
Marathon Petroleum Corporation,https://www.sec.gov/Archives/edgar/data/1510295/000151029523000042/mpc-20230426.htm
General Dynamics Corporation,https://www.sec.gov/Archives/edgar/data/40533/000004053323000031/gd-20230505.htm
American Electric Power Company Inc.,https://www.sec.gov/Archives/edgar/data/4904/000000490423000056/aep-20230425.htm
Ford Motor Company,https://www.sec.gov/Archives/edgar/data/37996/000003799623000032/f-20230511.htm
Dominion Energy Inc,https://www.sec.gov/Archives/edgar/data/715957/000095017023021382/d-20230510.htm
PNC Financial Services Group Inc.,https://www.sec.gov/Archives/edgar/data/713676/000071367623000038/pnc-20230426.htm
Public Storage,https://www.sec.gov/Archives/edgar/data/1393311/000114036123022941/brhc20052390_8k.htm
Occidental Petroleum Corporation,https://www.sec.gov/Archives/edgar/data/797468/000079746823000053/oxy-20230505.htm
NXP Semiconductors NV,https://www.sec.gov/Archives/edgar/data/1413447/000141344723000028/nxpi-20230524.htm
Ecolab Inc.,https://www.sec.gov/Archives/edgar/data/31462/000155837023009176/ecl-20230504x8k.htm
Parker-Hannifin Corporation,https://www.sec.gov/Archives/edgar/data/76334/000007633423000057/ph-20231025.htm
Exelon Corporation,https://www.sec.gov/Archives/edgar/data/1109357/000110935723000027/exc-20230425.htm
Johnson Controls International plc,https://www.sec.gov/Archives/edgar/data/833444/000083344423000007/jci-20230308.htm
Travelers Companies Inc.,https://www.sec.gov/Archives/edgar/data/86312/000110465923064998/tm2316995d1_8k.htm
Trane Technologies plc,https://www.sec.gov/Archives/edgar/data/1466258/000146625823000128/tt-20230601.htm
TransDigm Group Incorporated,https://www.sec.gov/Archives/edgar/data/1260221/000126022123000026/tdg-20230309.htm
Realty Income Corporation,https://www.sec.gov/Archives/edgar/data/726728/000072672823000073/o-20230523.htm
Agilent Technologies Inc.,https://www.sec.gov/Archives/edgar/data/1090872/000095017023008638/a-20230315.htm
Yum! Brands Inc.,https://www.sec.gov/Archives/edgar/data/1041061/000104106123000028/yum-20230518.htm
Truist Financial Corporation,https://www.sec.gov/Archives/edgar/data/92230/000009223023000044/tfc-20230425.htm
Aflac Incorporated,https://www.sec.gov/Archives/edgar/data/4977/000000497723000118/afl-20230501.htm
Centene Corporation,https://www.sec.gov/Archives/edgar/data/1071739/000107173923000148/cnc-20230510.htm
Charter Communications Inc. Class A,https://www.sec.gov/Archives/edgar/data/1091667/000109166723000087/chtr-20230425.htm
Ross Stores Inc.,https://www.sec.gov/Archives/edgar/data/745732/000074573223000035/rost-20230517.htm
L3Harris Technologies Inc,https://www.sec.gov/Archives/edgar/data/202058/000020205823000024/hrs-20230421.htm
Consolidated Edison Inc.,https://www.sec.gov/Archives/edgar/data/1047862/000104786223000124/ed-20230515.htm
Paychex Inc.,https://www.sec.gov/Archives/edgar/data/723531/000095017023053313/payx-20231012.htm
Kinder Morgan Inc Class P,https://www.sec.gov/Archives/edgar/data/1506307/000150630723000044/kmi-20230510.htm
Fidelity National Information Services Inc.,https://www.sec.gov/Archives/edgar/data/1136893/000113689323000091/fis-20230524.htm
Cummins Inc.,https://www.sec.gov/Archives/edgar/data/26172/000002617223000018/cmi-20230509.htm
CoStar Group Inc.,https://www.sec.gov/Archives/edgar/data/1057352/000105735223000091/csgp-20230608.htm
Old Dominion Freight Line Inc.,https://www.sec.gov/Archives/edgar/data/878927/000095017023022904/odfl-20230517.htm
Edison International,https://www.sec.gov/Archives/edgar/data/827052/000082705223000026/eix-20230427x8k.htm
